UsageClass	CheckoutType	MaterialType	CheckoutYear	CheckoutMonth	Checkouts	Title	ISBN	Creator	Subjects	Publisher	PublicationYear
Digital	OverDrive	EBOOK	2020	6	1	After the Ice: Life, Death, and Geopolitics in the New Arctic		Alun Anderson	Nonfiction, Politics	HarperCollins Publishers Inc.	2009
Digital	OverDrive	AUDIOBOOK	2020	6	1	This Land Is Their Land: Reports from a Divided Nation (unabridged) (Unabridged)		Barbara Ehrenreich	Nonfiction, Politics	Tantor Media, Inc	2008
Digital	OverDrive	AUDIOBOOK	2020	6	7	Why You Should Be a Socialist (Unabridged)		Nathan J. Robinson	Nonfiction, Politics	Macmillan Audio	2019
Digital	OverDrive	AUDIOBOOK	2020	6	1	Black Site: The CIA in the Post-9/11 World (unabridged) (Unabridged)		Philip Mudd	Nonfiction, Politics	HighBridge Company	2019
Digital	OverDrive	EBOOK	2020	6	1	Cracking the Code: How to Win Hearts, Change Minds, and Restore America's Original Vision		Thom Hartmann	Nonfiction, Politics	Berrett-Koehler Publishers, Inc.	2011
Digital	OverDrive	EBOOK	2020	6	3	It's Even Worse Than You Think: What the Trump Administration Is Doing to America		David Cay Johnston	Nonfiction, Politics	Simon & Schuster, Inc.	2018
Digital	OverDrive	AUDIOBOOK	2020	6	1	Where We Go from Here (Unabridged)		Bernie Sanders	Nonfiction, Politics	Macmillan Audio	2018
Digital	OverDrive	AUDIOBOOK	2020	6	2	The Republican Brain: The Science of Why They Deny Science--and Reality (unabridged) (Unabridged)		Chris Mooney	Nonfiction, Politics	Blackstone Audio, Inc.	2014
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Post-American World (Unabridged)		Fareed Zakaria	Nonfiction, Politics	HighBridge Company	2015
Digital	OverDrive	AUDIOBOOK	2020	6	1	How to Think Seriously about the Planet: The Case for an Environmental Conservatism (unabridged) (Unabridged)		Roger Scruton	Nonfiction, Politics	Blackstone Audio, Inc.	2012
Digital	OverDrive	EBOOK	2020	6	1	Quicksand: America's Pursuit of Power in the Middle East		Geoffrey Wawro	Nonfiction, Politics	Penguin Group (USA), Inc.	2010
Digital	OverDrive	EBOOK	2020	6	3	Love Your Enemies: How Decent People Can Save America from the Culture of Contempt		Arthur C. Brooks	Nonfiction, Politics	HarperCollins Publishers Inc.	2019
